time                ,algo ,unpaid_total_amount ,unpaid_algo_amount ,profitability            ,balance
2021-03-29 09:50:00 ,20   ,0.00000634          ,0.00000606         ,0.00010656               ,
2021-03-29 09:50:00 ,47   ,0.00000634          ,0.00000028         ,0.00010656               ,
2021-03-29 09:45:00 ,20   ,0.00000597          ,0.00000572         ,0.00009504000000000001   ,
2021-03-29 09:45:00 ,47   ,0.00000597          ,0.00000025         ,0.00009504000000000001   ,
2021-03-29 09:40:00 ,20   ,0.00000564          ,0.00000540         ,0.00008064000000000001   ,
2021-03-29 09:40:00 ,47   ,0.00000564          ,0.00000024         ,0.00008064000000000001   ,
2021-03-29 09:35:00 ,20   ,0.00000536          ,0.00000513         ,0.00008064000000000001   ,
2021-03-29 09:35:00 ,47   ,0.00000536          ,0.00000023         ,0.00008064000000000001   ,
2021-03-29 09:30:00 ,20   ,0.00000508          ,0.00000487         ,0.00007488               ,
2021-03-29 09:30:00 ,47   ,0.00000508          ,0.00000021         ,0.00007488               ,
2021-03-29 09:25:00 ,20   ,0.00000482          ,0.00000461         ,0.00009792000000000001   ,
2021-03-29 09:25:00 ,47   ,0.00000482          ,0.00000021         ,0.00009792000000000001   ,
2021-03-29 09:20:00 ,20   ,0.00000448          ,0.00000428         ,0.00009215999999999998   ,
2021-03-29 09:20:00 ,47   ,0.00000448          ,0.00000020         ,0.00009215999999999998   ,
2021-03-29 09:15:00 ,20   ,0.00000416          ,0.00000398         ,0.00007488000000000001   ,
2021-03-29 09:15:00 ,47   ,0.00000416          ,0.00000018         ,0.00007488000000000001   ,
2021-03-29 09:10:00 ,20   ,0.00000390          ,0.00000373         ,0.00006624               ,
2021-03-29 09:10:00 ,47   ,0.00000390          ,0.00000017         ,0.00006624               ,
2021-03-29 09:05:00 ,20   ,0.00000367          ,0.00000351         ,0.00008928               ,
2021-03-29 09:05:00 ,47   ,0.00000367          ,0.00000016         ,0.00008928               ,
2021-03-29 09:00:00 ,20   ,0.00000336          ,0.00000320         ,0.0000864                ,
2021-03-29 09:00:00 ,47   ,0.00000336          ,0.00000016         ,0.0000864                ,
2021-03-29 08:55:00 ,20   ,0.00000306          ,0.00000291         ,0.00008640000000000001   ,
2021-03-29 08:55:00 ,47   ,0.00000306          ,0.00000015         ,0.00008640000000000001   ,
2021-03-29 08:50:00 ,20   ,0.00000276          ,0.00000263         ,0.00006048000000000001   ,
2021-03-29 08:50:00 ,47   ,0.00000276          ,0.00000013         ,0.00006048000000000001   ,
2021-03-29 08:45:00 ,20   ,0.00000255          ,0.00000242         ,0.00007200000000000002   ,
2021-03-29 08:45:00 ,47   ,0.00000255          ,0.00000013         ,0.00007200000000000002   ,
